"";"nomor_urut";"jenis_kelamin";"umur";"fakultas";"prodi";"tingkat_semester";"uang_saku";"kepemilikan_mobil";"kepemilikan_motor";"kepemilikan_sepeda";"kendaraan_utama";"jenis_tempat_tinggal";"jarak";"jumlah_perjalanan_selasa";"jumlah_perjalanan_rabu";"jumlah_perjalanan_kamis";"jumlah_perjalanan_jumat";"jumlah_perjalanan_sabtu";"jumlah_perjalanan_ahad"
"110";110;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"4 (Semester 7 - Semester 8)";"> 4 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,31;3;0;3;2;0;2
"111";111;"Laki-laki";22;"Syariah";"Hukum Ekonomi";"4 (Semester 7 - Semester 8)";"> 4 Jt";1;3;0;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";6,04;3;0;3;3;0;2
"112";112;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";3,5;2;0;0;0;0;2
"113";113;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,15;2;0;2;4;4;0
"114";114;"Perempuan";21;"Adab";"Sejarah Peradaban Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";1;1;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,29;3;0;0;0;2;0
"115";115;"Laki-laki";20;"Tarbiyah dan Keguruan";"Pendidikan Guru Madrasah Ibtidaiyah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,36;3;3;0;3;2;0
"116";116;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;3;2;2;3;3;0
"117";117;"Laki-laki";20;"Syariah";"Hukum Keluarga";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,8;2;2;0;2;0;0
"118";118;"Laki-laki";23;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,91;4;4;4;4;4;4
"119";119;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";2;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";9,95;3;0;0;2;0;0
"120";120;"Laki-laki";25;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";0,91;3;0;0;2;0;2
"121";121;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";0,95;2;3;2;4;0;2
"122";122;"Laki-laki";21;"Syariah";"Hukum Keluarga";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,7;3;2;3;2;2;2
"123";123;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,59;3;2;2;2;0;2
"124";124;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";2,09;0;0;0;3;2;0
"125";125;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";1,84;3;3;3;0;0;2
"126";126;"Laki-laki";23;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";11,45;2;2;2;3;2;2
"127";127;"Laki-laki";24;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";4,31;3;2;2;4;2;2
"128";128;"Laki-laki";23;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";0,9;0;2;2;2;2;0
"129";129;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,77;2;2;2;2;3;2
"130";130;"Perempuan";22;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";0,95;2;2;0;0;0;0
"131";131;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Sosiologi Agama";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,04;0;2;2;2;2;2
"132";132;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Aqidah dan Filsafat Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";17,52;2;2;2;3;2;2
"133";133;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,7;2;2;2;0;2;0
"134";134;"Perempuan";23;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";1,51;3;2;2;3;3;0
"135";135;"Laki-laki";20;"Syariah";"Hukum Tata Negara";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,23;2;2;3;2;4;0
"136";136;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,68;2;2;3;0;2;2
"137";137;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,97;3;2;2;2;2;2
"138";138;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";8,34;0;2;0;2;2;2
"139";139;"Perempuan";22;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";2,27;3;0;2;2;0;0
"140";140;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Aqidah dan Filsafat Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,12;3;4;2;0;0;4
"141";141;"Laki-laki";20;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"2 (Semester 3 - Semester 4)";"< 1 Jt";1;4;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,28;4;4;2;2;2;0
"142";142;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";9,36;2;2;2;2;2;2
"143";143;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,36;3;3;0;2;2;2
"144";144;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,34;3;0;2;2;2;0
"145";145;"Laki-laki";21;"Syariah";"Hukum Keluarga";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,05;3;3;0;3;2;0
"146";146;"Perempuan";22;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,43;2;2;0;0;2;0
"147";147;"Perempuan";20;"Syariah";"Hukum Keluarga";"2 (Semester 3 - Semester 4)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";2,37;3;3;3;0;3;2
"148";148;"Laki-laki";22;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,28;0;0;3;2;2;2
"149";149;"Laki-laki";22;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";1;4;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,52;0;0;3;2;2;0
"150";150;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"> 4 Jt";2;2;1;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";9,22;2;0;3;0;2;0
"151";151;"Perempuan";23;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,16;0;2;2;2;2;0
"152";152;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"> 4 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,74;2;0;0;0;0;2
"153";153;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,82;3;2;3;0;2;0
"154";154;"Perempuan";20;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,71;4;5;4;4;0;2
"155";155;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,14;0;3;3;2;0;2
"156";156;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";0,84;3;3;3;0;0;0
"157";157;"Perempuan";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,4;3;3;0;2;0;2
"158";158;"Laki-laki";21;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,99;3;3;3;3;2;2
"159";159;"Laki-laki";20;"Ushuluddin dan Studi Agama";"Sosiologi Agama";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";1;3;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,13;2;0;2;2;2;0
"160";160;"Laki-laki";21;"Tarbiyah dan Keguruan";"Sistem Informasi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,13;3;0;2;3;2;0
"161";161;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";1;1;0;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";3,86;2;2;3;2;2;2
"162";162;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,17;3;5;2;3;2;0
"163";163;"Laki-laki";23;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";6,34;3;3;3;0;0;0
"164";164;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,76;3;3;3;3;2;2
"165";165;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;1;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,03;3;0;3;2;2;2
"166";166;"Perempuan";20;"Tarbiyah dan Keguruan";"Biologi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";4,12;4;2;2;4;0;3
"167";167;"Perempuan";21;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";1;0;0;"Mobil Pribadi";"Kos Sendiri";5,5;3;2;2;0;2;2
"168";168;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"< 1 Jt";1;4;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,9;0;2;2;2;2;2
"169";169;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,12;2;3;0;2;0;2
"170";170;"Perempuan";21;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,87;3;3;0;2;2;2
"171";171;"Laki-laki";20;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";2;5;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,43;0;3;2;2;2;0
"172";172;"Perempuan";19;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,28;2;2;4;2;0;0
"173";173;"Perempuan";20;"Syariah";"Hukum Ekonomi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,55;4;4;4;4;0;0
"174";174;"Perempuan";18;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";5,83;2;2;3;2;0;2
"175";175;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Tasawuf dan Psikoterapi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,13;0;0;2;2;0;2
"176";176;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;0;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";3,15;6;4;6;4;4;4
"177";177;"Perempuan";18;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";1,1;2;2;0;2;0;0
"178";178;"Laki-laki";25;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";5,71;2;0;2;2;2;0
"179";179;"Perempuan";24;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"4 (Semester 7 - Semester 8)";"> 4 Jt";5;6;0;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";0,62;2;2;0;0;0;2
"180";180;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,56;0;3;3;0;0;2
"181";181;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,39;2;2;2;2;2;2
"182";182;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,55;0;2;2;3;0;2
"183";183;"Perempuan";21;"Ushuluddin dan Studi Agama";"Pemikiran Politik Islam";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";0,28;3;0;2;0;2;2
"184";184;"Perempuan";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;2;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";29,26;3;2;2;0;0;0
"185";185;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Psikologi Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";16,17;3;0;0;2;2;0
"186";186;"Laki-laki";23;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";34,73;3;3;3;2;0;0
"187";187;"Perempuan";21;"Ushuluddin dan Studi Agama";"Sosiologi Agama";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,77;2;0;3;0;2;0
"188";188;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,87;0;3;0;2;2;2
"189";189;"Perempuan";19;"Ushuluddin dan Studi Agama";"Pemikiran Politik Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";1,37;3;0;3;2;0;0
"190";190;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Anak Usia Dini";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,4;3;2;2;3;4;1
"191";191;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;3;2;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,65;0;0;2;2;0;2
"192";192;"Perempuan";19;"Syariah";"Hukum Tata Negara";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,42;2;2;2;0;0;0
"193";193;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,29;0;2;0;2;2;0
"194";194;"Perempuan";20;"Syariah";"Hukum Ekonomi";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";0,83;2;3;0;0;0;4
"195";195;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";2,12;2;2;2;2;0;3
"196";196;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,75;2;2;0;0;2;2
"197";197;"Perempuan";21;"Syariah";"Hukum Ekonomi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";2,41;3;3;3;3;3;0
"198";198;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,13;2;2;2;2;2;0
"199";199;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"> 4 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,22;0;3;3;2;0;2
"200";200;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";1;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,2;4;3;0;0;4;2
"201";201;"Perempuan";21;"Syariah";"Hukum Ekonomi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Transportasi Online";"Rumah Pribadi/Rumah Keluarga";5,04;4;3;0;2;0;0
"202";202;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;1;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";1,61;5;5;5;6;0;0
"203";203;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,86;2;0;3;3;2;0
"204";204;"Perempuan";21;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,02;3;3;0;0;2;0
"205";205;"Perempuan";22;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"3 Jt - 4 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,55;2;3;0;0;1;1
"206";206;"Perempuan";23;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,97;2;2;2;2;2;0
"207";207;"Perempuan";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,95;0;0;2;3;0;0
"208";208;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,93;2;0;0;2;2;2
"209";209;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,5;2;2;0;0;0;1
"210";210;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";1,15;4;0;3;2;0;0
"211";211;"Perempuan";21;"Syariah";"Hukum Ekonomi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";3,06;2;2;2;2;2;0
"212";212;"Laki-laki";19;"Syariah";"Hukum Ekonomi";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;3;3;4;4;4;3
"213";213;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,14;3;3;2;3;3;2
"214";214;"Perempuan";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";2,14;2;2;2;4;0;0
"215";215;"Perempuan";20;"Ushuluddin dan Studi Agama";"Psikologi Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Sendiri";2,55;3;0;2;2;0;2
"216";216;"Perempuan";22;"Ushuluddin dan Studi Agama";"Psikologi Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";3,38;3;3;2;2;2;0
"217";217;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,44;0;0;3;6;0;5
"218";218;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,17;5;3;4;6;4;5
"219";219;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,93;0;2;0;5;4;0
"220";220;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,79;2;3;0;5;0;2
"221";221;"Laki-laki";20;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,66;0;4;2;2;2;0
